Freq.	V(vc)/V(vin)	V(vin)/I(CB)	V(vc)/Ic(Q1)
2.23872113856832e+07	(3.49621643834147e+01dB,1.04140694940027e+02°)	(3.30155357604872e+01dB,1.60600499086597e+02°)	(7.41599149284903e+01dB,1.79999999999909e+02°)
2.51188643150956e+07	(3.40376370997020e+01dB,1.02028616114683e+02°)	(3.29315833332966e+01dB,1.62004908468032e+02°)	(7.41599149285023e+01dB,1.79999999999944e+02°)
2.81838293126443e+07	(3.30977563799747e+01dB,1.00039848022760e+02°)	(3.28608014668946e+01dB,1.63208767336398e+02°)	(7.41599149284584e+01dB,-1.79999999999995e+02°)
3.16227766016835e+07	(3.21451187213646e+01dB,9.81580600977856e+01°)	(3.28000447954537e+01dB,1.64218775654650e+02°)	(7.41599149284740e+01dB,1.79999999999997e+02°)
3.54813389233572e+07	(3.11818517493460e+01dB,9.63657462455509e+01°)	(3.27465022052177e+01dB,1.65041970392732e+02°)	(7.41599149284568e+01dB,-1.79999999999994e+02°)
3.98107170553494e+07	(3.02096568604893e+01dB,9.46446574636675e+01°)	(3.26976239199366e+01dB,1.65685276470584e+02°)	(7.41599149284451e+01dB,-1.79999999999991e+02°)
4.46683592150959e+07	(2.92298524734670e+01dB,9.29760869338656e+01°)	(3.26510425665808e+01dB,1.66155239110339e+02°)	(7.41599149284371e+01dB,-1.79999999999997e+02°)
5.01187233627268e+07	(2.82434131800334e+01dB,9.13410370488906e+01°)	(3.26044927995210e+01dB,1.66457923205976e+02°)	(7.41599149284711e+01dB,-1.79999999999998e+02°)
5.62341325190344e+07	(2.72510019037467e+01dB,8.97202971475748e+01°)	(3.25557328021169e+01dB,1.66598970156681e+02°)	(7.41599149285078e+01dB,-1.79999999999984e+02°)
6.30957344480188e+07	(2.62529934266189e+01dB,8.80944582545382e+01°)	(3.25024706534956e+01dB,1.66583809324967e+02°)	(7.41599149284436e+01dB,1.79999999999971e+02°)
7.07945784384132e+07	(2.52494884538810e+01dB,8.64438883974316e+01°)	(3.24422991406656e+01dB,1.66418027350509e+02°)	(7.41599149284459e+01dB,1.79999999999981e+02°)
7.94328234724274e+07	(2.42403178967947e+01dB,8.47486900120978e+01°)	(3.23726440782422e+01dB,1.66107901633521e+02°)	(7.41599149284701e+01dB,1.79999999999980e+02°)
8.91250938133737e+07	(2.32250374031531e+01dB,8.29886600168496e+01°)	(3.22907334436638e+01dB,1.65661101331943e+02°)	(7.41599149284323e+01dB,1.79999999999967e+02°)
1.00000000000000e+08	(2.22029124887340e+01dB,8.11432735200773e+01°)	(3.21935973498516e+01dB,1.65087546880624e+02°)	(7.41599149284885e+01dB,-1.79999999999988e+02°)
