Freq.	V(vc)/V(vin)	V(vin)/I(CB)	V(vc)/Ic(Q1)
3.34965439157828e+04	(4.55953722442861e+01dB,-1.79247052756932e+02°)	(6.63788741266390e+01dB,1.66056130376814e+02°)	(7.41599149284906e+01dB,1.79999999999996e+02°)
3.54813389233576e+04	(4.55955143646918e+01dB,-1.79321733381627e+02°)	(6.63494074467184e+01dB,1.65329688164890e+02°)	(7.41599149284727e+01dB,-1.80000000000000e+02°)
3.75837404288444e+04	(4.55956381455413e+01dB,-1.79394168284256e+02°)	(6.63166084259150e+01dB,1.64562298525427e+02°)	(7.41599149284441e+01dB,-1.80000000000000e+02°)
3.98107170553498e+04	(4.55957452278268e+01dB,-1.79464597143333e+02°)	(6.62801236327778e+01dB,1.63752741732759e+02°)	(7.41599149284577e+01dB,-1.79999999999998e+02°)
4.21696503428583e+04	(4.55958370312770e+01dB,-1.79533253049291e+02°)	(6.62395697447313e+01dB,1.62899870706008e+02°)	(7.41599149284614e+01dB,1.79999999999999e+02°)
4.46683592150963e+04	(4.55959147731334e+01dB,-1.79600363266535e+02°)	(6.61945325895541e+01dB,1.62002636451975e+02°)	(7.41599149284997e+01dB,1.79999999999999e+02°)
4.73151258961481e+04	(4.55959794842526e+01dB,-1.79666149977697e+02°)	(6.61445665670622e+01dB,1.61060116466204e+02°)	(7.41599149284843e+01dB,1.80000000000000e+02°)
5.01187233627273e+04	(4.55960320227458e+01dB,-1.79730831012289e+02°)	(6.60891945571573e+01dB,1.60071546012389e+02°)	(7.41599149284348e+01dB,-1.79999999999999e+02°)
5.30884444230989e+04	(4.55960730853360e+01dB,-1.79794620561933e+02°)	(6.60279084303270e+01dB,1.59036352059825e+02°)	(7.41599149284488e+01dB,-1.79999999999999e+02°)
5.62341325190350e+04	(4.55961032165795e+01dB,-1.79857729884338e+02°)	(6.59601702833216e+01dB,1.57954189487321e+02°)	(7.41599149284999e+01dB,-1.80000000000000e+02°)
5.95662143529011e+04	(4.55961228160752e+01dB,-1.79920367998183e+02°)	(6.58854145244779e+01dB,1.56824978960053e+02°)	(7.41599149284724e+01dB,1.80000000000000e+02°)
