Freq.	V(vout)/V(vin)	V(vin)/Ix(x1:VIN)
2.81838293126446e+05	(5.20535154754094e+01dB,-6.51244828442513e+01°)	(7.76806854503420e+01dB,-2.19471991124902e+01°)
2.98538261891796e+05	(5.16420196879221e+01dB,-6.64211372136392e+01°)	(7.75993548737402e+01dB,-2.16050005783715e+01°)
3.16227766016838e+05	(5.12224479073567e+01dB,-6.76729481063330e+01°)	(7.75237927322066e+01dB,-2.13023927927013e+01°)
3.34965439157828e+05	(5.07954061857013e+01dB,-6.88797244288769e+01°)	(7.74534498510320e+01dB,-2.10422156175438e+01°)
3.54813389233576e+05	(5.03614788204447e+01dB,-7.00416149148780e+01°)	(7.73877725889008e+01dB,-2.08269816404149e+01°)
3.75837404288445e+05	(4.99212244975383e+01dB,-7.11590704250753e+01°)	(7.73262069082088e+01dB,-2.06589099771513e+01°)
3.98107170553498e+05	(4.94751734812335e+01dB,-7.22328063345531e+01°)	(7.72682012173074e+01dB,-2.05399602059438e+01°)
4.21696503428583e+05	(4.90238257442958e+01dB,-7.32637660248704e+01°)	(7.72132080937852e+01dB,-2.04718651146931e+01°)
4.46683592150964e+05	(4.85676499134456e+01dB,-7.42530862467273e+01°)	(7.71606850136279e+01dB,-2.04561612456692e+01°)
4.73151258961481e+05	(4.81070829093377e+01dB,-7.52020648916550e+01°)	(7.71100942201709e+01dB,-2.04942163896322e+01°)
5.01187233627273e+05	(4.76425301560302e+01dB,-7.61121315307585e+01°)	(7.70609018649015e+01dB,-2.05872534155868e+01°)
5.30884444230989e+05	(4.71743662487731e+01dB,-7.69848209020300e+01°)	(7.70125765568545e+01dB,-2.07363699508205e+01°)
5.62341325190350e+05	(4.67029359739931e+01dB,-7.78217493984181e+01°)	(7.69645874460824e+01dB,-2.09425535836032e+01°)
5.95662143529011e+05	(4.62285555921503e+01dB,-7.86245945233012e+01°)	(7.69164019666974e+01dB,-2.12066923442447e+01°)
6.30957344480194e+05	(4.57515143036955e+01dB,-7.93950771779406e+01°)	(7.68674833600260e+01dB,-2.15295803082262e+01°)
6.68343917568616e+05	(4.52720758329149e+01dB,-8.01349466169342e+01°)	(7.68172880919961e+01dB,-2.19119182245255e+01°)
7.07945784384139e+05	(4.47904800728987e+01dB,-8.08459678753274e+01°)	(7.67652632848461e+01dB,-2.23543091605134e+01°)
7.49894209332457e+05	(4.43069447508912e+01dB,-8.15299114389273e+01°)	(7.67108442768007e+01dB,-2.28572491589952e+01°)
7.94328234724283e+05	(4.38216670778145e+01dB,-8.21885449327147e+01°)	(7.66534524313436e+01dB,-2.34211130116238e+01°)
8.41395141645196e+05	(4.33348253543644e+01dB,-8.28236266226026e+01°)	(7.65924933200928e+01dB,-2.40461353459337e+01°)
8.91250938133747e+05	(4.28465805186824e+01dB,-8.34369004942311e+01°)	(7.65273554081104e+01dB,-2.47323872437575e+01°)
9.44060876285925e+05	(4.23570776168495e+01dB,-8.40300927333433e+01°)	(7.64574093745783e+01dB,-2.54797488397375e+01°)
1.00000000000000e+06	(4.18664471907722e+01dB,-8.46049094225947e+01°)	(7.63820082027699e+01dB,-2.62878784471852e+01°)
1.05925372517729e+06	(4.13748065774268e+01dB,-8.51630352784337e+01°)	(7.63004881750576e+01dB,-2.71561789208142e+01°)
1.12201845430196e+06	(4.08822611170323e+01dB,-8.57061332962082e+01°)	(7.62121708940598e+01dB,-2.80837622476486e+01°)
1.18850222743702e+06	(4.03889052696087e+01dB,-8.62358451705215e+01°)	(7.61163664413640e+01dB,-2.90694135389439e+01°)
1.25892541179417e+06	(3.98948236432882e+01dB,-8.67537923743929e+01°)	(7.60123777557310e+01dB,-3.01115558336489e+01°)
1.33352143216333e+06	(3.94000919365371e+01dB,-8.72615778016596e+01°)	(7.58995062761701e+01dB,-3.12082173612813e+01°)
1.41253754462276e+06	(3.89047777970919e+01dB,-8.77607878883285e+01°)	(7.57770588441127e+01dB,-3.23570031059936e+01°)
