x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-7.46000E-06,+511.95994945E-03,+533.13932654E-03,+1.40057623E-03,-4.58615637E-03
-7.45000E-06,+512.25981068E-03,+533.48479262E-03,+1.58812293E-03,-4.26793184E-03
-7.44000E-06,+508.88622100E-03,+528.44979228E-03,+1.67597594E-03,-4.64856716E-03
-7.43000E-06,+507.74387632E-03,+531.97029738E-03,+1.27231809E-03,-4.34103074E-03
-7.42000E-06,+504.81928701E-03,+528.26925742E-03,+1.55464822E-03,-4.41502440E-03
-7.41000E-06,+500.53748262E-03,+521.76295453E-03,+1.96536917E-03,-4.31321480E-03
-7.40000E-06,+498.26006743E-03,+521.36325261E-03,+1.97141765E-03,-4.22928833E-03
-7.39000E-06,+498.09743529E-03,+521.92958179E-03,+1.95579216E-03,-4.14514929E-03
-7.38000E-06,+498.51277854E-03,+514.74105312E-03,+1.94473694E-03,-4.15518763E-03
-7.37000E-06,+494.67959761E-03,+512.53125370E-03,+1.89561940E-03,-4.18956614E-03
-7.36000E-06,+494.18959058E-03,+507.19171857E-03,+1.78830933E-03,-4.24561110E-03
-7.35000E-06,+492.80799010E-03,+510.37101656E-03,+1.80291494E-03,-4.17545427E-03
-7.34000E-06,+491.28836903E-03,+506.09897386E-03,+1.97445697E-03,-4.30873498E-03
-7.33000E-06,+488.57329815E-03,+508.00529381E-03,+1.88780401E-03,-4.15877873E-03
-7.32000E-06,+480.71460449E-03,+503.70935569E-03,+2.02788021E-03,-3.98812995E-03
-7.31000E-06,+477.35985978E-03,+500.59288684E-03,+1.99430450E-03,-3.96040597E-03
-7.30000E-06,+483.03751145E-03,+497.28499074E-03,+1.82144030E-03,-3.64005196E-03
-7.29000E-06,+477.42822935E-03,+493.07253586E-03,+1.80745431E-03,-3.88860285E-03
-7.28000E-06,+472.46721438E-03,+487.68272233E-03,+2.04506985E-03,-4.15120003E-03
-7.27000E-06,+475.31197638E-03,+489.47163809E-03,+1.91162858E-03,-4.04866830E-03
-7.26000E-06,+461.33778691E-03,+483.19607307E-03,+2.07544945E-03,-4.06224648E-03
-7.25000E-06,+458.26266394E-03,+478.04909589E-03,+2.18122931E-03,-4.18470715E-03
-7.24000E-06,+455.44462411E-03,+477.94642846E-03,+2.23779137E-03,-3.46918080E-03
-7.23000E-06,+452.36923731E-03,+477.46064271E-03,+2.15314502E-03,-3.62472270E-03
-7.22000E-06,+448.59700103E-03,+470.91484074E-03,+1.99558897E-03,-3.78565049E-03
-7.21000E-06,+442.54369364E-03,+462.77430164E-03,+2.03341084E-03,-4.13340586E-03
-7.20000E-06,+439.94346403E-03,+460.95692997E-03,+2.21784962E-03,-3.90998813E-03
-7.19000E-06,+442.86937249E-03,+451.05137054E-03,+2.09905316E-03,-3.97667446E-03
-7.18000E-06,+429.93173201E-03,+452.51958252E-03,+2.25915479E-03,-3.84493829E-03
-7.17000E-06,+423.07216122E-03,+449.22159887E-03,+2.34200559E-03,-3.50192432E-03
-7.16000E-06,+426.12180578E-03,+441.82532320E-03,+2.16225393E-03,-3.55282686E-03
-7.15000E-06,+418.34900752E-03,+434.05252494E-03,+2.10274979E-03,-3.75029129E-03
-7.14000E-06,+414.41025705E-03,+430.80383975E-03,+2.02955817E-03,-3.68034025E-03
-7.13000E-06,+405.27798230E-03,+421.08744617E-03,+2.21447637E-03,-3.65708103E-03
-7.12000E-06,+400.87018041E-03,+422.63883987E-03,+2.04824032E-03,-3.71631229E-03
